STATcube;;;;
;;;;
Versorgungsbilanz für Fleisch nach Arten ab 1994 in Tonnen (Q);;;;
Produkte nach Werte nach Jahr;;;;
Zählt: BRUTTOEIGENERZEUGUNG, Einfuhr lebender Tiere, Ausfuhr lebender Tiere, NETTOERZEUGUNG, Anfangsbestand, Endbestand, Einfuhr, Ausfuhr, INLANDSVERBRAUCH, Inlandsverbrauch pro Kopf in kg, SELBSTVERSORGUNGSGRAD in %, Menschlicher Verzehr, Menschlicher Verzehr pro Kopf in kg;;;;
;;;;
Produkte;Werte;Jahr;Anzahl;Anmerkungen
Fleisch insgesamt;Menschlicher Verzehr;2013;552182;
Fleisch insgesamt;Menschlicher Verzehr;2014;555435;
Fleisch insgesamt;Menschlicher Verzehr;2015;559305;
Fleisch insgesamt;Menschlicher Verzehr;2016;564441;
Fleisch insgesamt;Menschlicher Verzehr;2017;556586;
Fleisch insgesamt;Menschlicher Verzehr;2018;562332;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2019;62,6;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2020;60,5;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2021;59;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2022;58,6;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2023;57,6;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;1994;64,3;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;1995;65,5;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;1996;66,1;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;1998;65,1;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;1999;66,1;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;1997;64,5;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2000;68,4;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2001;65,1;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2002;65,2;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2003;65,6;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2004;65,4;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2006;65;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2005;65,6;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2007;66,3;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2008;65,1;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2010;66;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2009;66,2;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2011;65,3;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2012;65,2;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2013;65,1;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2014;65;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2015;64,9;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2016;64,6;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2017;63,3;
Fleisch insgesamt;Menschlicher Verzehr pro Kopf in kg;2018;63,6;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2019;470260;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2020;474837;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2021;471094;
